,ID_Pelicula,Tipo,Título,Link,Sinopsis,Calificación,Lanzamiento,Duración [MIN]
60,51847,Movie,Siniestro,https://www.starz.com/ar/es/movies/Siniestro-51847,"Un autor se muda con su familia a una casa con un pasado oscuro con la esperanza de encontrar inspiración. Sin embargo, después de descubrir un conjunto de cintas de vídeo escalofriantes en la casa, se hace evidente que están en grave peligro.",SAM16,2012,110
61,37147,Movie,Spider-Man: De regreso a casa,https://www.starz.com/ar/es/movies/Spider-Man:-De-regreso-a-casa-37147,Un joven Peter Parker/Hombre Araña comienza a navegar la nueva identidad encontrada como el superhéroe lanzador de la web.,SAM13,2017,133
62,24244,Movie,Un paso adelante,https://www.starz.com/ar/es/movies/Un-paso-adelante-24244,"Tyler Gage (Channing Tatum) creció en las duras calles de Baltimore. Un roce con la ley obliga a Tyler a realizar  servicio comunitario en la Escuela de artes de Maryland de la ciudad. Allí conoce a Nora(Jenna Dewan), la primera bailarina de la escuela, y toda su vida toma un giro drástico.",SAM13,2006,103
63,30168,Movie,El traidor,https://www.starz.com/ar/es/movies/El-traidor-30168,"Cuando el honesto agente del FBI, Roy Clayton (Guy Pearce de MEMENTO) encabeza la investigación de una peligrosa conspiración internacional, todas las pistas apuntan al exoficial de Operaciones Especiales de EE. UU., Samir Horn (Don Cheadle de CRASH).",SAM13,2008,114
64,49947,Movie,Crepúsculo,https://www.starz.com/ar/es/movies/Crepúsculo-49947,"Una adolescente con problemas se muda con su padre a un pequeño pueblo aislado. Ella se enamora de un misterioso solitario con un secreto impactante, ¿podría tener algo que ver con los asesinatos locales que han comenzado a tener lugar?",SAM13,2008,121
65,51340,Movie,De Tyler Perry Tentación: Confesiones de una consejera matrimonial,https://www.starz.com/ar/es/movies/De-Tyler-Perry-Tentación:-Confesiones-de-una-consejera-matrimonial-51340,"Judith es una mujer trabajadora que está en un matrimonio amoroso pero sin pasión. Conoce a un hombre atractivo y extremadamente rico que la seduce para embarcarse en un amorío candente, pero después de que las cosas toman una serie de giros dramáticos ella encuentra que su vida cambió para siempre.",SAM16,2013,111
66,62071,Movie,Extraordinario,https://www.starz.com/ar/es/movies/Extraordinario-62071,"Tanto su familia como sus compañeros de clases y la comunidad en general luchan por encontrar la compasión y la aceptación, el extraordinario viaje de Auggie los unirá y les probará que no puedes mezclarte cuando naciste para sobresalir.",ATP,2017,113
67,37333,Movie,2012,https://www.starz.com/ar/es/movies/2012-37333,"El mundo se enfrenta a una catástrofe de proporciones apocalípticas, las ciudades quedan destruidas y los continentes se desmoronan.  En el año 2012 llega el fin del mundo y la heroica lucha de los supervivientes.",SAM13,2009,157
68,37309,Movie,Ali,https://www.starz.com/ar/es/movies/Ali-37309,"Basada en la vida del tan controvertido, pero indiscutiblemente electrizante boxeador, Muhammad Ali.",SAM16,2001,156
69,62690,Movie,Asesino: Misión venganza,https://www.starz.com/ar/es/movies/Asesino:-Misión-venganza-62690,"Stan Hurley, un veterano de la Guerra Fría, recluta y entrena a Mitch Rapp, cuya novia murió en un ataque terrorista. Con la colaboración de una letal agente turca, los tres deberán detener a un grupo terrorista antes de que inicien una guerra",SAM16,2017,111
70,50880,Movie,Escándalo Americano,https://www.starz.com/ar/es/movies/Escándalo-Americano-50880,Thriller político ambientado en los años 70 sobre un agente del FBI que investiga un caso en el que algunos miembros del Congreso aparecen implicados en un delito.,SAM16,2013,138
71,48724,Movie,American Pie: Tu primera vez,https://www.starz.com/ar/es/movies/American-Pie:-Tu-primera-vez-48724,"¡Jamás volverá a ver un pastel de manzana igual! ""American Pie"" es una visión histérica de la meta de cuatro amigos de secundaria ""desafortunados en el amor"" que hacen el pacto final: perder la virginidad la noche del baile de graduación.",SAM16,1999,95
72,41102,Movie,Anna Karenina,https://www.starz.com/ar/es/movies/Anna-Karenina-41102,"La historia explora con fuerza la capacidad de amar del corazón humano. Anna (Knightley) duda de su felicidad y de su matrimonio, y los cambios se suceden a su alrededor.",SAM16,2012,129
73,49311,Movie,Un Santa No Tan Santo,https://www.starz.com/ar/es/movies/Un-Santa-No-Tan-Santo-49311,"Willie, un Santa acabado y bromista de un centro comercial que sólo trabaja por las oportunidades criminales. Este año, Santa y su elfo ven su asalto anual en peligro debido a un inadaptado de ocho años quien decide creer que Willie es el Santa verdadero.",SAM16,2003,99
74,49853,Movie,Peligro en Bangkok,https://www.starz.com/ar/es/movies/Peligro-en-Bangkok-49853,"Joe (Nicolas Cage) es un asesino profesional que llega a Bangkok para atender algunos asuntos. Inesperadamente se encuentra entrenando a una joven alumna. Luego, se enamora de una mujer que no tiene conocimiento de su verdadero trabajo.",SAM16,2008,99
75,39540,Movie,Belly,https://www.starz.com/ar/es/movies/Belly-39540,Dos mafiosos tienen una epifanía.,SAM16,1998,95
76,62746,Movie,Best F(r)iends: Volume 1,https://www.starz.com/ar/es/movies/Best-F(r)iends:-Volume-1-62746,"El dúo dinámico detrás de THE ROOM y THE DISASTER ARTIST (Tommy Wiseau y Greg Sestero) vuelven a encontrarse después de 15 años en este nuevo clásico de culto. Cuando un vagabundo (Sestero) se hace amigo del extravagante encargado de una funeraria (Wiseau), se forma una rara sociedad comercial. Esto pronto da lugar a la paranoia, y ambos deberán aceptar la fragilidad de la amistad y la lealtad.",SAM16,2018,103
77,62686,Movie,Best F(r)iends: Volume Two,https://www.starz.com/ar/es/movies/Best-F(r)iends:-Volume-Two-62686,"Un vagabundo se hace amigo de un extravagante director de funeraria, y pronto, forman una sociedad, aunque una que poco tiene de comercial. La locura no tarda en surgir, pero estos hombres se verán forzados a sobrellevar las cosas a través de la amistad y la lealtad.",SAM16,2018,93
78,60449,Movie,Punto ciego,https://www.starz.com/ar/es/movies/Punto-ciego-60449,Los amigos de toda la vida Daveed Diggs y Rafael Casal coescribieron y protagonizaron esta entretenida historia sobre las interacciones de las razas y clases en una Oakland en rápido crecimiento.,SAM16,2018,95
79,62684,Movie,UNA BODA PARA NAVIDAD,https://www.starz.com/ar/es/movies/UNA-BODA-PARA-NAVIDAD-62684,Haley Foster escapó de su infancia en un pequeño pueblo en Pineridge y construyó una gran vida en la ciudad de Los Ángeles como una de las mejores planificadoras de bodas en una poderosa compañía de elite dirigida por la Sra. Reynolds.,ATP,2018,88
80,47783,Movie,Capitán Phillips,https://www.starz.com/ar/es/movies/Capitán-Phillips-47783,El capitán Richard Phillips intenta escapar de piratas armados somalíes mientras que la Marina de los Estados Unidos trata de rescatarlo.,SAM13,2013,134
81,65820,Movie,Casi Navidad,https://www.starz.com/ar/es/movies/Casi-Navidad-65820,Una familia disfuncional se reúne para su primera Navidad desde que falleció su mamá.,SAM13,2016,110
82,62670,Movie,¡Competencia en la cocina!,https://www.starz.com/ar/es/movies/¡Competencia-en-la-cocina!-62670,Una madre soltera que sueña con una vida mejor y ama cocinar encuentra el camino al éxito cuando su hijo la insribe en una competencia de gastronomía.,ATP,2017,98
83,60686,Movie,El contratista,https://www.starz.com/ar/es/movies/El-contratista-60686,"Elizabeth Chase es una esposa comprensiva y una madre amorosa. Su trabajo en uno de los principales hospitales infantiles de Los Ángeles la tiene bastante ocupada estos días. Además, la crianza de su hija McKenzie, consume todo su tiempo.",SAM13,2013,88
84,49809,Movie,Crank: muerte anunciada,https://www.starz.com/ar/es/movies/Crank:-muerte-anunciada-49809,"Hoy es el último día de la vida del asesino a sueldo Chev Chelios. Le suministraron un veneno que lo matará si permite que su corazón se estabilice a un ritmo normal. Para mantenerse con vida y vengarse, Chev debe mantener su adrenalina elevada de cualquier manera posible.",SAM16,2006,87
85,60735,Movie,Crímenes de lujuria,https://www.starz.com/ar/es/movies/Crímenes-de-lujuria-60735,"Rebeca y Arturo encuentran pasión el uno en el otro - y quizá hasta el amor. Pero sobre todo, tienen una oportunidad: Rebeca quiere asesinar a su esposo y cobrar el seguro, mientras que Arturo podrá poseer a la mujer de sus sueños y todo su dinero.",SAM16,2011,89
86,47298,Movie,Cubos,https://www.starz.com/ar/es/movies/Cubos-47298,"Un grupo de seis completos extraños, de personalidades y orígenes muy variados, son puestos involuntariamente en un laberinto interminable que contiene trampas mortales. Sin recordar cómo llegaron al laberinto, deben encontrar una salida.",SAM16,1997,90
87,52235,Movie,Lugares oscuros,https://www.starz.com/ar/es/movies/Lugares-oscuros-52235,"Charlize Theron, Nicholas Hoult, Cholë Grace Moretz y Christina Hendricks protagonizan este thriller de misterio, basado en la novela de Gillian Flynn (Perdida).",SAM16,2015,113
88,43805,Movie,Baile caliente,https://www.starz.com/ar/es/movies/Baile-caliente-43805,"En 1963, Baby, de 17 años está de vacaciones con su familia en un centro turístico de la montaña cuando se siente atraída a los cuarteles del personal y su agitada música. Allí conoce a Johnny y se enamoran a pesar de las advertencias de todos.",SAM13,1987,100
89,50899,Movie,Divergente,https://www.starz.com/ar/es/movies/Divergente-50899,"En el futuro, una adolescente aprende que es una ""Divergente"". Cuando se entera del complot de un malvado líder para asesinar a todos los divergentes se embarca en una búsqueda frenética para saber la verdad sobre sí misma.",SAM13,2014,139
90,51081,Movie,Divergente la serie: Insurgente,https://www.starz.com/ar/es/movies/Divergente-la-serie:-Insurgente-51081,"Los fugitivos Tris y Four buscan aliados y respuestas entre las ruinas de Chicago mientras tratan de evadir desesperadamente a Jeanine, líder de los Eruditos. Basada en la novela de Veronica Roth",SAM13,2015,118
91,62692,Movie,La maldición de Blackwood,https://www.starz.com/ar/es/movies/La-maldición-de-Blackwood-62692,"Cinco adolescentes emocionalmente frágiles son enviadas a Blackwood, una misteriosa escuela para niñas superdotadas y perturbadas.",SAM13,2018,96
