,Título,Tipo,ID_Serie,Link,Sinopsis,CantidadEpisodios,Genero,Año Lanzamiento,Actual o Finalizado,Calificación
10,Normal People,60083,Series with Season,https://www.starz.com/ar/es/series/Normal-People/60083,"Desde la escuela a la universidad, Normal People sigue a Connell y Marianne mientras entretejen sus vidas en un programa que explora lo complicado que puede ser el amor joven.",13,"[{'description': 'Drama'}, {'description': 'Romántica'}]",2020,2020,SAM16
11,Dr. Death,61268,Series with Season,https://www.starz.com/ar/es/series/Dr.-Death/61268,"Basada en el exitoso podcast de Wondery, Dr. Death cuanta la impactante historia verdadera del Dr. Christopher Duntsch (Joshua Jackson), un joven neurocirujano aparentemente brillante con un consultorio médico próspero. Pero no todo es lo que parece.",9,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2021,2021,SAM16
12,The Royals,45706,Series with Season,https://www.starz.com/ar/es/series/The-Royals/45706,"The Royals sigue las vidas de una familia real británica ficticia que vive un mundo de opulencia, lujuria, escándalo sexual y tradición regia: un mundo que también trae consigo un costo de responsabilidades, destino e intensa opinión pública.",40,[{'description': 'Drama'}],2015,2018,SAM13
13,The Stand,61994,Series with Season,https://www.starz.com/ar/es/series/The-Stand/61994,"The Stand es la visión apocalíptica de Stephen King de un mundo asolado por una plaga y envuelto en una lucha básica entre el bien y el mal. El destino de la humanidad descansa en los frágiles hombros de la Madre Abagail, de 108 años, y algunos sobrevivientes. Sus peores pesadillas se encarnan en un hombre con una sonrisa letal y poderes atroces: Randall Flagg, el Hombre Oscuro.",10,[{'description': 'Drama'}],2020,2021,SAM16
14,Baptiste,45713,Series with Season,https://www.starz.com/ar/es/series/Baptiste/45713,"El impredecible detective, Julien Baptiste, quien está de vacaciones con su esposa en Ámsterdam, apoya a su exnovia, la Jefa de Policía de Ámsterdam, en una investigación.",13,[{'description': 'Drama'}],2019,2021,SAM16
15,Spartacus,5972,Series with Season,https://www.starz.com/ar/es/series/Spartacus/5972,"Traicionado por Romanos. Forzado a la esclavitud. Renacido como Gladiador. Apartado de su patria y su mujer, Spartacus es condenado al mundo de la arena donde la sangre y la muerte reinan.",39,"[{'description': 'Acción'}, {'description': 'Drama'}]",2010,2013,SAM16
16,The White Queen,18124,Series with Season,https://www.starz.com/ar/es/series/The-White-Queen/18124,"""The White Queen"" es una fascinante historia de amor y deseo, traición y asesinatos, en donde se tejen vibrantemente las historias de tres mujeres diferentes pero igualmente perseverantes: Isabel Woodwille, Margarita Beaufort y Anna Neville. En la búsqueda por el poder, conspirarán, manipularán y seducirán en el camino para llegar al trono de Inglaterra.",10,"[{'description': 'Drama'}, {'description': 'Literaria'}]",2013,2013,SAM16
17,Black Sails,19568,Series with Season,https://www.starz.com/ar/es/series/Black-Sails/19568,"La aventura pirata ""Black Sails"", se centra en las historias del capitán Flint y su notoria tripulación mientras luchan por la fortuna y la supervivencia antes de los eventos descritos en el libro ""La isla del tesoro"".",38,"[{'description': 'Drama'}, {'description': 'Acción'}]",2014,2017,SAM16
18,Power,21220,Series with Season,https://www.starz.com/ar/es/series/Power/21220,"El productor ejecutivo Curtis “50 Cent” Jackson presenta ""Power,"" un drama criminal sobre el dueño de un club nocturno quien también es el capo de un lucrativo imperio de drogas.",66,[{'description': 'Drama'}],2014,2021,SAM16
19,Blue Mountain State,46152,Series with Season,https://www.starz.com/ar/es/series/Blue-Mountain-State/46152,"En Blue Mountain State, el campus universitario más pendenciero del país, los atletas aprenden los altibajos de ser unos de los pocos elegidos que son venerados en el campus.",39,"[{'description': 'Comedia'}, {'description': 'Deportes'}]",2010,2011,SAM16
20,MotherFatherSon,44758,Series with Season,https://www.starz.com/ar/es/series/MotherFatherSon/44758,"Max posee uno de los imperios mediáticos más influyentes del mundo. La información es su oficio: tiene secretos oscuros para todos y usa su poder despiadadamente, incluso en su propia familia.",8,[{'description': 'Drama'}],2019,2019,SAM16
21,Castle Rock,45522,Series with Season,https://www.starz.com/ar/es/series/Castle-Rock/45522,"""Castle Rock"" lleva a los espectadores al escalofriante mundo del exitoso y aclamado Stephen King en esta serie de terror psicológico.",21,"[{'description': 'Drama'}, {'description': 'Fantasía'}]",2018,2020,SAM16
22,Dr. Death: The Undoctored Story,65195,Series with Season,https://www.starz.com/ar/es/series/Dr.-Death:-The-Undoctored-Story/65195,"""Dr. Death: The Undoctored Story"" es la primera docuserie sobre el Dr. Christopher Duntsch, el notorio neurocirujano, cuya historia impactante ha cautivado al mundo.",5,"[{'description': 'Documental'}, {'description': 'Drama'}]",2021,2021,SAM13
23,Power Book III: Raising Kanan,58458,Series with Season,https://www.starz.com/ar/es/series/Power-Book-III:-Raising-Kanan/58458,"Situada al Sur de Jamaica, en Queens, en 1991, ""Raising Kanan"" es una precuela de la franquicia original ""Power"". Este drama familiar trata del cambio de edad de Kanan Stark, un distribuidor de cocaína con una red de vendedores en la Ciudad de Nueva York.",10,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2021,2021,SAM16
24,BMF,62264,Series with Season,https://www.starz.com/ar/es/series/BMF/62264,"""BMF"" sigue la historia de dos hermanos que crearon la ""Black Mafia Family"", la red de distribución de drogas más promienente en la historia Americana.",9,[{'description': 'Drama'}],2021,2021,SAM16
25,Hightown,57463,Series with Season,https://www.starz.com/ar/es/series/Hightown/57463,"Ambientada en el bello, pero sombrío, Cabo Cod, esta serie, narra el camino de una mujer para dejar las drogas y el alcohol. Pero todo es eclipsado por una investigación por asesinato.",19,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2020,2021,SAM16
26,Little Birds,62168,Series with Season,https://www.starz.com/ar/es/series/Little-Birds/62168,Una Adaptación de la infame conlección de cuentos eróticos de Anais Nin.,6,"[{'description': 'Drama'}, {'description': 'Romántica'}]",2021,2021,SAM16
27,MalaYerba,64882,Series with Season,https://www.starz.com/ar/es/series/MalaYerba/64882,"Cuando el cannabis medicinal es legalizado en Colombia, tres jóvenes emprendedores rápidamente se abren paso en el codiciado mercado.",11,[{'description': 'Drama'}],2021,2021,SAM16
28,The Name of the Rose,45429,Series with Season,https://www.starz.com/ar/es/series/The-Name-of-the-Rose/45429,"En 1327, un brillante monje franciscano ingés, Guillermo de Baskerville, es enviado por el Santo Imperio Romano a un monasterio aislado al norte de Italia para un dramático y decisivo encuentro.",8,[{'description': 'Drama'}],2019,2019,SAM16
29,Dublin Murders,45426,Series with Season,https://www.starz.com/ar/es/series/Dublin-Murders/45426,"“Dublin Murders” es una serie de misterio de ocho episodios con una trama que se adentra profundamente en el pasado de Irlanda, presagia su presente y brinda una percepción de su futuro.",9,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2019,2019,SAM16
30,The Capture,57770,Series with Season,https://www.starz.com/ar/es/series/The-Capture/57770,"Del productor ejecutivo de éxitos David Heyman y NBCUniversal International Studios llega ""La captura"", un oportuno thriller que explora cuestiones urgentes acerca de la vigilancia y la desinformación.",6,[{'description': 'Drama'}],2019,2019,SAM13
31,The Rook,44140,Series with Season,https://www.starz.com/ar/es/series/The-Rook/44140,"Cuando una mujer despierta rodeada de cadáveres sin ningún recuerdo, debe revelar su misterioso pasado para conocer la verdad.",8,"[{'description': 'Drama'}, {'description': 'Fantasía'}]",2019,2019,SAM16
32,Vida,37707,Series with Season,https://www.starz.com/ar/es/series/Vida/37707,"""Vida"" es una serie de media hora que se enfoca en dos hermanas mexico-americanas de lado Este de Los Ángeles que no podrían ser más diferentes ni estar más distanciadas entre sí. Las circunstancias las obligan a volver a su antiguo barrio en donde son confrontadas por su pasado y por la insospechada verdad sobre la identidad de su madre.",23,"[{'description': 'Comedia'}, {'description': 'Drama'}]",2018,2020,SAM16
33,Instinto Animal,56898,Series with Season,https://www.starz.com/ar/es/series/Instinto-Animal/56898,"Este drama sobre una familia criminal sigue a un adolescente quien, luego de la muerte de su madre, se muda con sus parientes independientes a un balneario del sur de California.
Atraído por la vida de excesos que llevan, pronto descubre que esta está financiada por actividades criminales y que unirse a la familia viene con más peligro de lo que podría estar listo para manejar.",49,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2016,2019,SAM16
34,Das Boot,45955,Series with Season,https://www.starz.com/ar/es/series/Das-Boot/45955,"En 1942, en la Francia ocupada, el U-612 está listo para su primer viaje, dirigiéndose a la guerra que es cada vez más violenta, con su joven tripulación y su nuevo capitán, Klaus Hoffman.",16,[{'description': 'Drama'}],2018,2020,SAM16
